Monument Name,State/UT,City,Latitude,Longitude,Description,Image Link,3D Model Link
Indian Heritage Monument 58,Arunachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 59,Bihar,Temple Town,,,"Historic monument located in Temple Town, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 60,Chhattisgarh,Fort City,,,"Historic monument located in Fort City, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 61,Mizoram,Capital City,,,"Historic monument located in Capital City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 62,Himachal Pradesh,Fort City,,,"Historic monument located in Fort City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 63,Madhya Pradesh,Heritage City,,,"Historic monument located in Heritage City, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 64,Puducherry,Temple Town,,,"Historic monument located in Temple Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 65,Odisha,Fort City,,,"Historic monument located in Fort City, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 66,Uttar Pradesh,Temple Town,,,"Historic monument located in Temple Town, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 67,Sikkim,Capital City,,,"Historic monument located in Capital City, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 68,Meghalaya,Ancient Site,,,"Historic monument located in Ancient Site, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 69,Uttarakhand,Capital City,,,"Historic monument located in Capital City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 70,Chhattisgarh,Ancient Site,,,"Historic monument located in Ancient Site, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 71,Chhattisgarh,Historic Town,,,"Historic monument located in Historic Town, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 72,Andhra Pradesh,Historic Town,,,"Historic monument located in Historic Town, Andhra Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 73,Bihar,Historic Town,,,"Historic monument located in Historic Town, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 74,Mizoram,Historic Town,,,"Historic monument located in Historic Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 75,Telangana,Historic Town,,,"Historic monument located in Historic Town, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 76,Jammu and Kashmir,Fort City,,,"Historic monument located in Fort City, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 77,Manipur,Ancient Site,,,"Historic monument located in Ancient Site, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 78,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 79,Telangana,Heritage City,,,"Historic monument located in Heritage City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 80,Puducherry,Fort City,,,"Historic monument located in Fort City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 81,Mizoram,Fort City,,,"Historic monument located in Fort City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 82,Dadra and Nagar Haveli and Daman and Diu,Ancient Site,,,"Historic monument located in Ancient Site, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 83,Goa,Temple Town,,,"Historic monument located in Temple Town, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 84,Chhattisgarh,Heritage City,,,"Historic monument located in Heritage City, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 85,Odisha,Fort City,,,"Historic monument located in Fort City, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 86,Jammu and Kashmir,Historic Town,,,"Historic monument located in Historic Town, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 87,Jammu and Kashmir,Temple Town,,,"Historic monument located in Temple Town, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 88,Bihar,Capital City,,,"Historic monument located in Capital City, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 89,Maharashtra,Fort City,,,"Historic monument located in Fort City, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 90,Arunachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 91,Kerala,Heritage City,,,"Historic monument located in Heritage City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 92,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 93,Arunachal Pradesh,Capital City,,,"Historic monument located in Capital City, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 94,Kerala,Historic Town,,,"Historic monument located in Historic Town, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 95,Uttarakhand,Temple Town,,,"Historic monument located in Temple Town, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 96,Mizoram,Historic Town,,,"Historic monument located in Historic Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 97,Ladakh,Ancient Site,,,"Historic monument located in Ancient Site, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 98,West Bengal,Historic Town,,,"Historic monument located in Historic Town, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 99,Jharkhand,Heritage City,,,"Historic monument located in Heritage City, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 100,Jammu and Kashmir,Capital City,,,"Historic monument located in Capital City, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 101,Uttarakhand,Capital City,,,"Historic monument located in Capital City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 102,Nagaland,Historic Town,,,"Historic monument located in Historic Town, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 103,Arunachal Pradesh,Temple Town,,,"Historic monument located in Temple Town, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 104,Puducherry,Ancient Site,,,"Historic monument located in Ancient Site, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 105,Madhya Pradesh,Heritage City,,,"Historic monument located in Heritage City, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 106,Rajasthan,Historic Town,,,"Historic monument located in Historic Town, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 107,Tamil Nadu,Temple Town,,,"Historic monument located in Temple Town, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 108,Chhattisgarh,Ancient Site,,,"Historic monument located in Ancient Site, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 109,Assam,Ancient Site,,,"Historic monument located in Ancient Site, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 110,Himachal Pradesh,Temple Town,,,"Historic monument located in Temple Town, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 111,Nagaland,Ancient Site,,,"Historic monument located in Ancient Site, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 112,Himachal Pradesh,Capital City,,,"Historic monument located in Capital City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 113,Nagaland,Ancient Site,,,"Historic monument located in Ancient Site, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 114,Arunachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Arunachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 115,Karnataka,Historic Town,,,"Historic monument located in Historic Town, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 116,Odisha,Ancient Site,,,"Historic monument located in Ancient Site, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 117,Haryana,Heritage City,,,"Historic monument located in Heritage City, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 118,Ladakh,Heritage City,,,"Historic monument located in Heritage City, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 119,Himachal Pradesh,Historic Town,,,"Historic monument located in Historic Town, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 120,Himachal Pradesh,Fort City,,,"Historic monument located in Fort City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 121,Chandigarh,Historic Town,,,"Historic monument located in Historic Town, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 122,Kerala,Fort City,,,"Historic monument located in Fort City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 123,Maharashtra,Fort City,,,"Historic monument located in Fort City, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 124,Kerala,Ancient Site,,,"Historic monument located in Ancient Site, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 125,Ladakh,Heritage City,,,"Historic monument located in Heritage City, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 126,Assam,Heritage City,,,"Historic monument located in Heritage City, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 127,Tamil Nadu,Historic Town,,,"Historic monument located in Historic Town, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 128,West Bengal,Historic Town,,,"Historic monument located in Historic Town, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 129,Rajasthan,Fort City,,,"Historic monument located in Fort City, Rajasthan.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 130,Himachal Pradesh,Capital City,,,"Historic monument located in Capital City, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 131,Manipur,Historic Town,,,"Historic monument located in Historic Town, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 132,Dadra and Nagar Haveli and Daman and Diu,Capital City,,,"Historic monument located in Capital City, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 133,Chandigarh,Temple Town,,,"Historic monument located in Temple Town, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 134,Andaman and Nicobar Islands,Fort City,,,"Historic monument located in Fort City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 135,Manipur,Heritage City,,,"Historic monument located in Heritage City, Manipur.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 136,Jammu and Kashmir,Capital City,,,"Historic monument located in Capital City, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 137,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 138,Punjab,Temple Town,,,"Historic monument located in Temple Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 139,Delhi,Capital City,,,"Historic monument located in Capital City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 140,Bihar,Fort City,,,"Historic monument located in Fort City, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 141,Uttarakhand,Capital City,,,"Historic monument located in Capital City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 142,Andaman and Nicobar Islands,Capital City,,,"Historic monument located in Capital City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 143,Jharkhand,Temple Town,,,"Historic monument located in Temple Town, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 144,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 145,Kerala,Heritage City,,,"Historic monument located in Heritage City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 146,Uttarakhand,Historic Town,,,"Historic monument located in Historic Town, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 147,Goa,Historic Town,,,"Historic monument located in Historic Town, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 148,Punjab,Historic Town,,,"Historic monument located in Historic Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 149,Kerala,Fort City,,,"Historic monument located in Fort City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 150,Delhi,Fort City,,,"Historic monument located in Fort City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 151,Andaman and Nicobar Islands,Heritage City,,,"Historic monument located in Heritage City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 152,Haryana,Ancient Site,,,"Historic monument located in Ancient Site, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 153,Delhi,Temple Town,,,"Historic monument located in Temple Town, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 154,Uttar Pradesh,Capital City,,,"Historic monument located in Capital City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 155,Sikkim,Ancient Site,,,"Historic monument located in Ancient Site, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 156,Haryana,Capital City,,,"Historic monument located in Capital City, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 157,Uttarakhand,Fort City,,,"Historic monument located in Fort City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 158,Madhya Pradesh,Heritage City,,,"Historic monument located in Heritage City, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 159,Tripura,Ancient Site,,,"Historic monument located in Ancient Site, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 160,Bihar,Capital City,,,"Historic monument located in Capital City, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 161,Maharashtra,Historic Town,,,"Historic monument located in Historic Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 162,Madhya Pradesh,Temple Town,,,"Historic monument located in Temple Town, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 163,Karnataka,Capital City,,,"Historic monument located in Capital City, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 164,Delhi,Fort City,,,"Historic monument located in Fort City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 165,Haryana,Capital City,,,"Historic monument located in Capital City, Haryana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 166,Odisha,Historic Town,,,"Historic monument located in Historic Town, Odisha.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 167,Telangana,Fort City,,,"Historic monument located in Fort City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 168,Madhya Pradesh,Historic Town,,,"Historic monument located in Historic Town, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 169,Bihar,Capital City,,,"Historic monument located in Capital City, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 170,Puducherry,Fort City,,,"Historic monument located in Fort City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 171,Nagaland,Heritage City,,,"Historic monument located in Heritage City, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 172,Chhattisgarh,Fort City,,,"Historic monument located in Fort City, Chhattisgarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 173,Goa,Ancient Site,,,"Historic monument located in Ancient Site, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 174,Goa,Capital City,,,"Historic monument located in Capital City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 175,Chandigarh,Ancient Site,,,"Historic monument located in Ancient Site, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 176,Puducherry,Historic Town,,,"Historic monument located in Historic Town, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 177,Ladakh,Historic Town,,,"Historic monument located in Historic Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 178,Gujarat,Capital City,,,"Historic monument located in Capital City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 179,Delhi,Ancient Site,,,"Historic monument located in Ancient Site, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 180,Sikkim,Temple Town,,,"Historic monument located in Temple Town, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 181,Karnataka,Historic Town,,,"Historic monument located in Historic Town, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 182,Tamil Nadu,Fort City,,,"Historic monument located in Fort City, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 183,Gujarat,Fort City,,,"Historic monument located in Fort City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 184,Punjab,Capital City,,,"Historic monument located in Capital City, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 185,Bihar,Ancient Site,,,"Historic monument located in Ancient Site, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
