State,District,Monument Name,Type,Category,Latitude,Longitude,TouristRating,Description,History,ImageLink
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 7,Heritage Site,Mixed,14.0101,82.2433,4.0,Famous monument 7 in Sri Sathya Sai,Historical significance of monument 7 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 8,Heritage Site,Mixed,17.486,83.4377,4.7,Famous monument 8 in Sri Sathya Sai,Historical significance of monument 8 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 9,Heritage Site,Mixed,13.1444,83.8846,3.6,Famous monument 9 in Sri Sathya Sai,Historical significance of monument 9 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 10,Heritage Site,Mixed,16.2664,81.8417,3.6,Famous monument 10 in Sri Sathya Sai,Historical significance of monument 10 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 1,Heritage Site,Mixed,16.5691,83.286,4.1,Famous monument 1 in Chittoor,Historical significance of monument 1 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 2,Heritage Site,Mixed,18.3568,78.1997,3.8,Famous monument 2 in Chittoor,Historical significance of monument 2 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 3,Heritage Site,Mixed,13.9916,83.6926,4.9,Famous monument 3 in Chittoor,Historical significance of monument 3 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 4,Heritage Site,Mixed,13.1846,82.7263,4.0,Famous monument 4 in Chittoor,Historical significance of monument 4 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 5,Heritage Site,Mixed,14.931,78.9407,4.9,Famous monument 5 in Chittoor,Historical significance of monument 5 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 6,Heritage Site,Mixed,17.7063,84.2895,3.9,Famous monument 6 in Chittoor,Historical significance of monument 6 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 7,Heritage Site,Mixed,15.872,78.6885,4.4,Famous monument 7 in Chittoor,Historical significance of monument 7 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 8,Heritage Site,Mixed,15.0468,80.1373,3.9,Famous monument 8 in Chittoor,Historical significance of monument 8 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 9,Heritage Site,Mixed,17.2233,83.0721,3.8,Famous monument 9 in Chittoor,Historical significance of monument 9 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Chittoor,Chittoor Monument 10,Heritage Site,Mixed,15.0612,83.2544,4.4,Famous monument 10 in Chittoor,Historical significance of monument 10 in Chittoor,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 1,Heritage Site,Mixed,17.8508,80.3655,4.2,Famous monument 1 in Tirupati,Historical significance of monument 1 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 2,Heritage Site,Mixed,17.1715,78.0777,3.6,Famous monument 2 in Tirupati,Historical significance of monument 2 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 3,Heritage Site,Mixed,18.8077,79.4018,4.7,Famous monument 3 in Tirupati,Historical significance of monument 3 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 4,Heritage Site,Mixed,15.6836,81.9115,4.2,Famous monument 4 in Tirupati,Historical significance of monument 4 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 5,Heritage Site,Mixed,16.8431,82.9757,5.0,Famous monument 5 in Tirupati,Historical significance of monument 5 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 6,Heritage Site,Mixed,17.3817,79.4027,3.9,Famous monument 6 in Tirupati,Historical significance of monument 6 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 7,Heritage Site,Mixed,18.0821,78.3838,4.8,Famous monument 7 in Tirupati,Historical significance of monument 7 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 8,Heritage Site,Mixed,15.032,84.4742,3.8,Famous monument 8 in Tirupati,Historical significance of monument 8 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 9,Heritage Site,Mixed,15.4934,78.8088,4.5,Famous monument 9 in Tirupati,Historical significance of monument 9 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Tirupati,Tirupati Monument 10,Heritage Site,Mixed,14.8752,79.0403,3.8,Famous monument 10 in Tirupati,Historical significance of monument 10 in Tirupati,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 1,Heritage Site,Mixed,17.2667,83.2948,3.8,Famous monument 1 in Annamayya,Historical significance of monument 1 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 2,Heritage Site,Mixed,13.1339,82.4339,4.5,Famous monument 2 in Annamayya,Historical significance of monument 2 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 3,Heritage Site,Mixed,18.225,82.0276,4.2,Famous monument 3 in Annamayya,Historical significance of monument 3 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 4,Heritage Site,Mixed,13.3891,84.2762,3.6,Famous monument 4 in Annamayya,Historical significance of monument 4 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 5,Heritage Site,Mixed,16.3221,81.5794,4.6,Famous monument 5 in Annamayya,Historical significance of monument 5 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 6,Heritage Site,Mixed,14.8661,82.6343,4.4,Famous monument 6 in Annamayya,Historical significance of monument 6 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 7,Heritage Site,Mixed,15.5056,78.9981,3.6,Famous monument 7 in Annamayya,Historical significance of monument 7 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 8,Heritage Site,Mixed,13.2035,83.4432,4.3,Famous monument 8 in Annamayya,Historical significance of monument 8 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 9,Heritage Site,Mixed,16.7762,83.5629,3.5,Famous monument 9 in Annamayya,Historical significance of monument 9 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Annamayya,Annamayya Monument 10,Heritage Site,Mixed,17.332,81.388,4.2,Famous monument 10 in Annamayya,Historical significance of monument 10 in Annamayya,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 1,Heritage Site,Mixed,13.3606,79.5412,4.6,Famous monument 1 in YSR Kadapa,Historical significance of monument 1 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 2,Heritage Site,Mixed,15.7626,83.4833,3.9,Famous monument 2 in YSR Kadapa,Historical significance of monument 2 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 3,Heritage Site,Mixed,16.9242,83.0848,4.0,Famous monument 3 in YSR Kadapa,Historical significance of monument 3 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 4,Heritage Site,Mixed,14.2145,83.5974,4.2,Famous monument 4 in YSR Kadapa,Historical significance of monument 4 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 5,Heritage Site,Mixed,17.1935,77.861,4.1,Famous monument 5 in YSR Kadapa,Historical significance of monument 5 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 6,Heritage Site,Mixed,18.91,79.7197,3.6,Famous monument 6 in YSR Kadapa,Historical significance of monument 6 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 7,Heritage Site,Mixed,15.7545,82.1999,4.2,Famous monument 7 in YSR Kadapa,Historical significance of monument 7 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 8,Heritage Site,Mixed,17.2065,82.5912,3.8,Famous monument 8 in YSR Kadapa,Historical significance of monument 8 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 9,Heritage Site,Mixed,17.3767,77.7716,4.3,Famous monument 9 in YSR Kadapa,Historical significance of monument 9 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,YSR Kadapa,YSR Kadapa Monument 10,Heritage Site,Mixed,15.5566,81.7593,4.7,Famous monument 10 in YSR Kadapa,Historical significance of monument 10 in YSR Kadapa,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 1,Heritage Site,Mixed,13.8338,77.6729,4.3,Famous monument 1 in Kurnool,Historical significance of monument 1 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 2,Heritage Site,Mixed,17.6355,77.4088,3.8,Famous monument 2 in Kurnool,Historical significance of monument 2 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 3,Heritage Site,Mixed,18.7115,84.2527,4.0,Famous monument 3 in Kurnool,Historical significance of monument 3 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 4,Heritage Site,Mixed,17.3991,82.1957,4.1,Famous monument 4 in Kurnool,Historical significance of monument 4 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 5,Heritage Site,Mixed,15.53,81.193,4.3,Famous monument 5 in Kurnool,Historical significance of monument 5 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 6,Heritage Site,Mixed,18.3615,83.1972,4.2,Famous monument 6 in Kurnool,Historical significance of monument 6 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 7,Heritage Site,Mixed,17.9293,82.0232,3.6,Famous monument 7 in Kurnool,Historical significance of monument 7 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 8,Heritage Site,Mixed,18.4092,77.5942,3.9,Famous monument 8 in Kurnool,Historical significance of monument 8 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 9,Heritage Site,Mixed,13.0755,78.642,4.9,Famous monument 9 in Kurnool,Historical significance of monument 9 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Kurnool,Kurnool Monument 10,Heritage Site,Mixed,15.1751,80.8959,4.8,Famous monument 10 in Kurnool,Historical significance of monument 10 in Kurnool,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 1,Heritage Site,Mixed,15.2958,84.4546,4.0,Famous monument 1 in Nandyal,Historical significance of monument 1 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 2,Heritage Site,Mixed,13.0258,80.4351,4.4,Famous monument 2 in Nandyal,Historical significance of monument 2 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 3,Heritage Site,Mixed,15.3391,78.5712,4.2,Famous monument 3 in Nandyal,Historical significance of monument 3 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 4,Heritage Site,Mixed,15.4528,79.8703,3.6,Famous monument 4 in Nandyal,Historical significance of monument 4 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 5,Heritage Site,Mixed,18.1773,83.1057,4.8,Famous monument 5 in Nandyal,Historical significance of monument 5 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 6,Heritage Site,Mixed,13.7358,78.3881,4.4,Famous monument 6 in Nandyal,Historical significance of monument 6 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 7,Heritage Site,Mixed,18.6804,84.4717,4.4,Famous monument 7 in Nandyal,Historical significance of monument 7 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 8,Heritage Site,Mixed,16.6634,80.3548,3.8,Famous monument 8 in Nandyal,Historical significance of monument 8 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 9,Heritage Site,Mixed,17.5921,83.1898,4.7,Famous monument 9 in Nandyal,Historical significance of monument 9 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Nandyal,Nandyal Monument 10,Heritage Site,Mixed,15.3078,81.917,4.5,Famous monument 10 in Nandyal,Historical significance of monument 10 in Nandyal,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 1,Heritage Site,Mixed,15.4839,78.7067,4.1,Famous monument 1 in Prakasam,Historical significance of monument 1 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 2,Heritage Site,Mixed,15.1578,77.7101,4.7,Famous monument 2 in Prakasam,Historical significance of monument 2 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 3,Heritage Site,Mixed,16.6045,80.8206,3.9,Famous monument 3 in Prakasam,Historical significance of monument 3 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 4,Heritage Site,Mixed,18.9076,81.1126,3.7,Famous monument 4 in Prakasam,Historical significance of monument 4 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 5,Heritage Site,Mixed,13.2782,78.2654,5.0,Famous monument 5 in Prakasam,Historical significance of monument 5 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 6,Heritage Site,Mixed,14.2154,80.997,4.4,Famous monument 6 in Prakasam,Historical significance of monument 6 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 7,Heritage Site,Mixed,16.3487,84.0114,4.9,Famous monument 7 in Prakasam,Historical significance of monument 7 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 8,Heritage Site,Mixed,18.5171,81.3601,3.6,Famous monument 8 in Prakasam,Historical significance of monument 8 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 9,Heritage Site,Mixed,14.519,83.2935,4.0,Famous monument 9 in Prakasam,Historical significance of monument 9 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Prakasam,Prakasam Monument 10,Heritage Site,Mixed,14.1987,79.9765,4.2,Famous monument 10 in Prakasam,Historical significance of monument 10 in Prakasam,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 1,Heritage Site,Mixed,16.6407,81.5214,4.6,Famous monument 1 in Bapatla,Historical significance of monument 1 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 2,Heritage Site,Mixed,14.3412,78.4264,4.8,Famous monument 2 in Bapatla,Historical significance of monument 2 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 3,Heritage Site,Mixed,16.5817,82.2245,4.0,Famous monument 3 in Bapatla,Historical significance of monument 3 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 4,Heritage Site,Mixed,18.2005,80.006,3.9,Famous monument 4 in Bapatla,Historical significance of monument 4 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 5,Heritage Site,Mixed,13.2413,78.2307,3.7,Famous monument 5 in Bapatla,Historical significance of monument 5 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 6,Heritage Site,Mixed,18.8318,78.5128,4.1,Famous monument 6 in Bapatla,Historical significance of monument 6 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 7,Heritage Site,Mixed,15.1628,78.2367,4.8,Famous monument 7 in Bapatla,Historical significance of monument 7 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 8,Heritage Site,Mixed,16.8644,78.9366,5.0,Famous monument 8 in Bapatla,Historical significance of monument 8 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 9,Heritage Site,Mixed,16.6488,78.7384,4.8,Famous monument 9 in Bapatla,Historical significance of monument 9 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Bapatla,Bapatla Monument 10,Heritage Site,Mixed,14.5977,79.5378,4.8,Famous monument 10 in Bapatla,Historical significance of monument 10 in Bapatla,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 1,Heritage Site,Mixed,17.7303,83.7896,4.8,Famous monument 1 in Palnadu,Historical significance of monument 1 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 2,Heritage Site,Mixed,14.3101,82.3057,4.0,Famous monument 2 in Palnadu,Historical significance of monument 2 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 3,Heritage Site,Mixed,14.2071,83.3135,4.5,Famous monument 3 in Palnadu,Historical significance of monument 3 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 4,Heritage Site,Mixed,18.825,83.9686,4.4,Famous monument 4 in Palnadu,Historical significance of monument 4 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 5,Heritage Site,Mixed,17.5278,81.1768,4.6,Famous monument 5 in Palnadu,Historical significance of monument 5 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 6,Heritage Site,Mixed,14.8643,80.6469,3.8,Famous monument 6 in Palnadu,Historical significance of monument 6 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 7,Heritage Site,Mixed,16.4157,80.1159,3.8,Famous monument 7 in Palnadu,Historical significance of monument 7 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 8,Heritage Site,Mixed,17.5643,77.4911,4.0,Famous monument 8 in Palnadu,Historical significance of monument 8 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 9,Heritage Site,Mixed,17.5197,84.491,4.9,Famous monument 9 in Palnadu,Historical significance of monument 9 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Palnadu,Palnadu Monument 10,Heritage Site,Mixed,16.9396,80.8579,4.4,Famous monument 10 in Palnadu,Historical significance of monument 10 in Palnadu,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Guntur,Guntur Monument 1,Heritage Site,Mixed,18.0745,83.5259,3.8,Famous monument 1 in Guntur,Historical significance of monument 1 in Guntur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
