state,district,monument_name,latitude,longitude,description,image_link,model_3d_link
Odisha,Khordha,Lingaraj Temple,20.2384,85.8338,"An 11th-century masterpiece of Kalinga architecture dominating the Bhubaneswar skyline.",https://commons.wikimedia.org/wiki/Special:FilePath/Lingaraj_Temple_Bhubaneswar.jpg,N/A
Odisha,Khordha,Udayagiri and Khandagiri Caves,20.2581,85.7850,"Partly natural and partly artificial caves excavated by King Kharavela in the 1st century BCE.",https://commons.wikimedia.org/wiki/Special:FilePath/Udayagiri_Caves.jpg,N/A
Odisha,Koraput,Gupteswar Cave,18.8200,82.1600,"Limestone cave shrine hidden in the dense forests dedicated to Lord Shiva.",https://commons.wikimedia.org/wiki/Special:FilePath/Gupteswar_Cave.jpg,N/A
Odisha,Malkangiri,Mallikeswar Temple,18.3610,81.8920,"An ancient hilltop Shiva temple located near Malkangiri town, renowned for its naturally growing Shiva Lingam and rich spiritual heritage.",http://googleusercontent.com/image_collection/image_retrieval/5451369426714072097,N/A
Odisha,Mayurbhanj,Kichakeshwari Temple,21.9300,85.9800,"7th-8th century temple built uniquely from black chlorite stone in Khiching.",https://commons.wikimedia.org/wiki/Special:FilePath/Kichakeshwari_Temple.jpg,N/A
Odisha,Nabarangpur,Podagada Fort Ruins,19.5500,82.3500,"Ruins of an ancient fort belonging to the Nala dynasty.",https://commons.wikimedia.org/wiki/Special:FilePath/Podagada_Fort.jpg,N/A
Odisha,Nayagarh,Kantilo Nilamadhava Temple,20.3600,85.3100,"Ancient twin temples of Vishnu on the banks of the Mahanadi river.",https://commons.wikimedia.org/wiki/Special:FilePath/Nilamadhava_Temple.jpg,N/A
Odisha,Nuapada,Patora Jogeswar Temple,20.8400,82.5200,"Ancient Shiva temple discovered in the riverbed valley during dam construction.",https://commons.wikimedia.org/wiki/Special:FilePath/Patora_Jogeswar_Temple.jpg,N/A
Odisha,Puri,Konark Sun Temple,19.8876,86.0945,"13th-century UNESCO World Heritage site built in the shape of a colossal chariot.",https://commons.wikimedia.org/wiki/Special:FilePath/Konark_Sun_Temple.jpg,https://sketchfab.com/3d-models/konark-sun-temple-wheel
Odisha,Puri,Jagannath Temple,19.8049,85.8179,"Famous 12th-century Kalinga-style temple holding immense religious significance.",https://commons.wikimedia.org/wiki/Special:FilePath/Jagannath_Temple_Puri.jpg,N/A
Odisha,Rayagada,Majhighariani Temple,19.1600,83.8100,"Historical temple central to the local tribal and mainstream religious traditions.",https://commons.wikimedia.org/wiki/Special:FilePath/Majhighariani_Temple.jpg,N/A
Odisha,Sambalpur,Leaning Temple of Huma,21.2700,83.8600,"One of the only two leaning temples in the world dedicated to Lord Bimaleswar.",https://commons.wikimedia.org/wiki/Special:FilePath/Leaning_Temple_of_Huma.jpg,N/A
Odisha,Subarnapur,Lankeswari Temple,20.8300,83.9200,"Historic rock-cut shrine located in the middle of the Mahanadi riverbed.",https://commons.wikimedia.org/wiki/Special:FilePath/Lankeswari_Temple.jpg,N/A
Odisha,Sundargarh,Vedvyas Temple,22.2300,84.8100,"Ancient ashram site where sage Vyasa is believed to have written the Mahabharata.",https://commons.wikimedia.org/wiki/Special:FilePath/Vedvyas_Temple.jpg,N/A
Goa,North Goa,Basilica of Bom Jesus,15.5009,73.9116,"UNESCO World Heritage site holding the mortal remains of St. Francis Xavier.",https://commons.wikimedia.org/wiki/Special:FilePath/Basilica_of_Bom_Jesus.jpg,N/A
Goa,North Goa,Aguada Fort,15.4937,73.7634,"Well-preserved 17th-century Portuguese fort and lighthouse.",https://commons.wikimedia.org/wiki/Special:FilePath/Aguada_Fort.jpg,N/A
Goa,North Goa,Chapora Fort,15.6053,73.7369,"Historic laterite fort rising high above the Chapora River.",https://commons.wikimedia.org/wiki/Special:FilePath/Chapora_Fort_Goa.jpg,N/A
Goa,South Goa,Cabo de Rama Fort,15.0883,73.9222,"Ancient fort claimed by the Portuguese in 1763 offering dramatic ocean views.",https://commons.wikimedia.org/wiki/Special:FilePath/Cabo_de_Rama.jpg,N/A
Goa,South Goa,Safa Masjid,15.4055,74.0200,"A 16th-century mosque built by Ibrahim Adil Shah featuring elegant Islamic architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Safa_Masjid_Goa.jpg,N/A


Kerala,Alappuzha,Krishnapuram Palace,9.1256,76.5165,"18th-century palace built by Anizham Thirunal Marthanda Varma, known for its mural paintings.",https://commons.wikimedia.org/wiki/Special:FilePath/Krishnapuram_Palace.jpg,N/A
Kerala,Ernakulam,Mattancherry Palace,9.9583,76.2594,"Also known as the Dutch Palace, featuring Kerala murals depicting Hindu temple art.",https://commons.wikimedia.org/wiki/Special:FilePath/Mattancherry_Palace.jpg,N/A
Kerala,Idukki,Marayoor Dolmens,10.2740,77.1550,"Prehistoric megalithic burial chambers known locally as Muniyaras.",https://commons.wikimedia.org/wiki/Special:FilePath/Marayoor_Dolmens.jpg,N/A
Kerala,Kannur,St. Angelo Fort,11.8539,75.3644,"A massive triangular laterite fort built by the Portuguese in 1505.",https://commons.wikimedia.org/wiki/Special:FilePath/St_Angelo_Fort_Kannur.jpg,N/A
Kerala,Kasaragod,Bekal Fort,12.3934,75.0290,"The largest fort in Kerala, built by Shivappa Nayaka in 1650, situated right on the Arabian Sea.",https://commons.wikimedia.org/wiki/Special:FilePath/Bekal_Fort_Kasaragod.jpg,N/A
Kerala,Kollam,Thangassery Lighthouse and Fort Ruins,8.8786,76.5651,"Ruins of an old Portuguese/Dutch fort and a historic lighthouse built in 1902.",https://commons.wikimedia.org/wiki/Special:FilePath/Thangassery_Lighthouse.jpg,N/A
Kerala,Kottayam,Thazhathangady Juma Masjid,9.5888,76.5100,"One of the oldest mosques in India, known for its intricate wooden architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Thazhathangady_Juma_Masjid.jpg,N/A
Kerala,Kozhikode,Mishkal Mosque,11.2464,75.7725,"A historic 14th-century four-story mosque lacking cupolas, typical of traditional Kerala architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Mishkal_Mosque.jpg,N/A
Kerala,Malappuram,Thirunavaya Navamukunda Temple,10.8402,75.9866,"Ancient Hindu temple on the banks of the Bharathappuzha River with rich historical ties to the Mamankam festival.",https://commons.wikimedia.org/wiki/Special:FilePath/Thirunavaya_Navamukunda_Temple.jpg,N/A
Kerala,Palakkad,Palakkad Fort,10.7671,76.6548,"An old granite fort situated in the heart of Palakkad city, rebuilt by Hyder Ali in 1766.",https://commons.wikimedia.org/wiki/Special:FilePath/Palakkad_Fort.jpg,N/A
Kerala,Pathanamthitta,Kaviyoor Rock Cut Cave Temple,9.3556,76.5828,"An 8th-century rock-cut Shiva temple bearing Pallava architectural influences.",https://commons.wikimedia.org/wiki/Special:FilePath/Kaviyoor_Rock_Cut_Temple.jpg,N/A
Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,8.4830,76.9436,"Intricate 8th-century Hindu temple built in an amalgamation of the Kerala style and the Dravidian style.",https://commons.wikimedia.org/wiki/Special:FilePath/Padmanabhaswamy_Temple.jpg,N/A
Kerala,Thrissur,Vadakkunnathan Temple,10.5244,76.2116,"Ancient Shiva temple featuring monumental towers and classic Kerala wooden architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Vadakkunnathan_Temple.jpg,N/A
Kerala,Wayanad,Edakkal Caves,11.6276,76.2341,"Natural caves featuring Neolithic petroglyphs dating back to 6000 BCE.",https://commons.wikimedia.org/wiki/Special:FilePath/Edakkal_Caves.jpg,N/A
Haryana,Ambala,Kos Minar Ambala,30.3752,76.7704,"Medieval milestone tower built during the Mughal era along the Grand Trunk Road.",https://commons.wikimedia.org/wiki/Special:FilePath/Kos_Minar.jpg,N/A
Haryana,Bhiwani,Loharu Fort,28.4350,75.8150,"A historic mud fort built in 1570 by Thakur Arjun Singh.",https://commons.wikimedia.org/wiki/Special:FilePath/Loharu_Fort.jpg,N/A
Haryana,Charkhi Dadri,Shyamesar Tank,28.5920,76.2650,"A historic stepwell and tank built by Lala Sita Ram in the 19th century.",https://commons.wikimedia.org/wiki/Special:FilePath/Shyamesar_Tank.jpg,N/A
Haryana,Faridabad,Surajkund,28.4878,77.2831,"A 10th-century ancient reservoir built by King Suraj Pal of the Tomar dynasty.",https://commons.wikimedia.org/wiki/Special:FilePath/Surajkund_Lake.jpg,N/A
Haryana,Fatehabad,Lat of Firuz Shah,29.5100,75.4500,"A pillar erected by Firoz Shah Tughlaq in the 14th century, part of a historic mosque complex.",https://commons.wikimedia.org/wiki/Special:FilePath/Lat_of_Firuz_Shah.jpg,N/A
Haryana,Gurugram,Sheesh Mahal Farrukhnagar,28.4480,76.8200,"An 18th-century palace built by Faujdar Khan featuring a prominent mirrored interior.",https://commons.wikimedia.org/wiki/Special:FilePath/Sheesh_Mahal_Farrukhnagar.jpg,N/A
Haryana,Hisar,Firoz Shah Palace Complex,29.1706,75.7230,"14th-century palace complex built by Firoz Shah Tughlaq, featuring the Gujri Mahal.",https://commons.wikimedia.org/wiki/Special:FilePath/Firoz_Shah_Palace_Hisar.jpg,N/A
Haryana,Jhajjar,Bua Hasan Tomb,28.6080,76.6570,"A historic tomb complex with distinct Pathan architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Bua_Hasan_Tomb.jpg,N/A
Haryana,Jind,Bhuteshwar Temple,29.3170,76.3150,"A prominent 18th-century Shiva temple built by the rulers of the Jind state.",https://commons.wikimedia.org/wiki/Special:FilePath/Bhuteshwar_Temple_Jind.jpg,N/A
Haryana,Kaithal,Tomb of Razia Sultan,29.8000,76.3830,"The believed resting place of Razia Sultan, the first female Muslim ruler of the Delhi Sultanate.",https://commons.wikimedia.org/wiki/Special:FilePath/Razia_Sultan_Tomb_Kaithal.jpg,N/A
Haryana,Karnal,Cantonment Church Tower,29.6910,76.9790,"A majestic historic church tower remaining from the British cantonment era.",https://commons.wikimedia.org/wiki/Special:FilePath/Cantonment_Church_Tower_Karnal.jpg,N/A
Haryana,Kurukshetra,Sheikh Chilli's Tomb,29.9705,76.8153,"A beautiful 17th-century tomb complex featuring Persian architecture and gardens.",https://commons.wikimedia.org/wiki/Special:FilePath/Sheikh_Chilli_Tomb.jpg,N/A
Haryana,Mahendragarh,Jal Mahal Narnaul,28.0430,76.1050,"A 16th-century pleasure palace built in the center of a large water tank by Shah Quli Khan.",https://commons.wikimedia.org/wiki/Special:FilePath/Jal_Mahal_Narnaul.jpg,N/A
Haryana,Nuh,Tomb of Sheikh Musa,28.1060,77.0040,"An elaborate historic tomb complex famous for its shaking minarets.",https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_Sheikh_Musa.jpg,N/A
Haryana,Palwal,Draupadi Ghat,28.1400,77.3200,"Historic ghats associated with the Mahabharata era.",https://commons.wikimedia.org/wiki/Special:FilePath/Draupadi_Ghat_Palwal.jpg,N/A
Haryana,Panchkula,Bhima Devi Temple Complex,30.7960,76.9180,"Ruins of an 8th-to-11th century Panchayatana Hindu temple complex.",https://commons.wikimedia.org/wiki/Special:FilePath/Bhima_Devi_Temple.jpg,N/A
Haryana,Panipat,Kabuli Bagh Mosque,29.4005,76.9830,"A mosque built by Emperor Babur in 1527 to mark his victory in the First Battle of Panipat.",https://commons.wikimedia.org/wiki/Special:FilePath/Kabuli_Bagh_Mosque.jpg,N/A
Haryana,Rewari,Baoli of Rao Tej Singh,28.1830,76.6160,"A historic 19th-century stepwell featuring impressive Rajput-style arches.",https://commons.wikimedia.org/wiki/Special:FilePath/Baoli_Rao_Tej_Singh.jpg,N/A
Haryana,Rohtak,Meham Baoli,28.9660,76.3000,"A massive, well-preserved stepwell built by Saidu Kalal in 1656 during Shah Jahan's reign.",https://commons.wikimedia.org/wiki/Special:FilePath/Meham_Baoli.jpg,N/A
Haryana,Sirsa,Ther Mound,29.5330,75.0160,"An ancient archaeological mound with artifacts dating back to the pre-Mauryan era.",https://commons.wikimedia.org/wiki/Special:FilePath/Ther_Mound_Sirsa.jpg,N/A
Haryana,Sonipat,Tomb of Khwaja Khizr,28.9830,77.0160,"A red sandstone tomb built in the 16th century during the reign of Ibrahim Lodi.",https://commons.wikimedia.org/wiki/Special:FilePath/Khwaja_Khizr_Tomb.jpg,N/A
Haryana,Yamunanagar,Chaneti Buddhist Stupa,30.1580,77.3050,"An ancient brick stupa dating back to the Mauryan period.",https://commons.wikimedia.org/wiki/Special:FilePath/Chaneti_Stupa.jpg,N/A


Maharashtra,Ahmednagar,Ahmednagar Fort,19.0945,74.7495,"15th-century fort built by Malik Ahmad Nizam Shah I, later used as a prison for Indian nationalist leaders.",https://commons.wikimedia.org/wiki/Special:FilePath/Ahmednagar_Fort_gate.jpg,N/A
Maharashtra,Akola,Narnala Fort,21.2420,77.0250,"Ancient hill fortress featuring the magnificent Mahakali Gate and intricate Mughal architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Narnala_Fort_Gate.jpg,N/A
Maharashtra,Amravati,Gavilghur Fort,21.3650,77.3240,"A heavily fortified mountain stronghold of the Maratha Empire located in the Satpura Range.",https://commons.wikimedia.org/wiki/Special:FilePath/Gawilghur_Fort.jpg,N/A
Maharashtra,Aurangabad,Ajanta Caves,20.5519,75.7033,"UNESCO World Heritage site featuring 2nd-century BCE rock-cut Buddhist cave monuments and frescoes.",https://commons.wikimedia.org/wiki/Special:FilePath/Ajanta_Caves_View.jpg,N/A
Maharashtra,Beed,Dharur Fort,18.8200,76.1100,"A medieval hill fort known for its strategic importance during the Deccan sultanates.",https://commons.wikimedia.org/wiki/Special:FilePath/Dharur_Fort.jpg,N/A
Maharashtra,Bhandara,Ambagarh Fort,21.3600,79.6400,"A ruined medieval fort built by the Gond rulers, later controlled by the Bhonsles of Nagpur.",https://commons.wikimedia.org/wiki/Special:FilePath/Ambagarh_Fort.jpg,N/A
Maharashtra,Buldhana,Daitya Sudan Temple,19.9760,76.5250,"An ancient Chalukya-style Vishnu temple located near the famous Lonar meteor crater.",https://commons.wikimedia.org/wiki/Special:FilePath/Daitya_Sudan_Temple_Lonar.jpg,N/A
Maharashtra,Chandrapur,Chandrapur Fort,19.9500,79.2900,"Historic fort with robust stone walls and grand gateways built by Gond kings.",https://commons.wikimedia.org/wiki/Special:FilePath/Chandrapur_Fort_Gate.jpg,N/A
Maharashtra,Dhule,Laling Fort,20.8200,74.7300,"An ancient ruined hill fort built during the reign of the Faruqi dynasty.",https://commons.wikimedia.org/wiki/Special:FilePath/Laling_Fort.jpg,N/A
Maharashtra,Gadchiroli,Markanda Mahadev Temple,19.7800,79.8400,"An 8th-century temple complex often referred to as the 'Khajuraho of Vidarbha'.",https://commons.wikimedia.org/wiki/Special:FilePath/Markanda_Temple.jpg,N/A
Maharashtra,Gondia,Kachargadh Caves,21.3100,80.5200,"Massive natural caves holding archaeological and deep cultural significance for the Gond community.",https://commons.wikimedia.org/wiki/Special:FilePath/Kachargadh_Caves.jpg,N/A
Maharashtra,Hingoli,Aundha Nagnath Temple,19.5300,77.0400,"An ancient Shiva temple, believed to be one of the Jyotirlingas, featuring intricate carvings.",https://commons.wikimedia.org/wiki/Special:FilePath/Aundha_Nagnath_Temple.jpg,N/A
Maharashtra,Jalgaon,Changdev Maharaj Temple,21.0800,76.0000,"A 12th-century Hemadpanthi-style temple located at the confluence of the Tapi and Purna rivers.",https://commons.wikimedia.org/wiki/Special:FilePath/Changdev_Temple.jpg,N/A
Maharashtra,Jalna,Jamb Samarth,19.2600,76.1600,"Birthplace of the prominent 17th-century Maratha saint Ramdas Swami, featuring a historic temple.",https://commons.wikimedia.org/wiki/Special:FilePath/Jamb_Samarth.jpg,N/A
Maharashtra,Kolhapur,Mahalakshmi Temple,16.6946,74.2230,"An ancient and highly revered 7th-century Chalukya-era temple dedicated to Goddess Mahalakshmi.",https://commons.wikimedia.org/wiki/Special:FilePath/Mahalakshmi_Temple_Kolhapur.jpg,N/A
Maharashtra,Latur,Udgir Fort,18.3900,77.1100,"A 12th-century fort famous for the 1760 Battle of Udgir between the Marathas and the Nizam.",https://commons.wikimedia.org/wiki/Special:FilePath/Udgir_Fort.jpg,N/A
Maharashtra,Mumbai City,Gateway of India,18.9220,72.8347,"An iconic 20th-century Indo-Saracenic arch monument built to commemorate the landing of King George V.",https://commons.wikimedia.org/wiki/Special:FilePath/Gateway_of_India.jpg,N/A
Maharashtra,Mumbai Suburban,Kanheri Caves,19.2084,72.9061,"A group of ancient rock-cut monuments containing Buddhist sculptures and relief carvings deep within Sanjay Gandhi National Park.",https://commons.wikimedia.org/wiki/Special:FilePath/Kanheri_Caves.jpg,N/A
Maharashtra,Nagpur,Deekshabhoomi,21.1270,79.0660,"A massive hollow Buddhist stupa where Dr. B. R. Ambedkar embraced Buddhism in 1956.",https://commons.wikimedia.org/wiki/Special:FilePath/Deekshabhoomi_Nagpur.jpg,N/A
Maharashtra,Nanded,Hazur Sahib,19.1528,77.3183,"A prominent Gurdwara marking the site where Guru Gobind Singh took his last breath in 1708.",https://commons.wikimedia.org/wiki/Special:FilePath/Hazur_Sahib_Nanded.jpg,N/A
Maharashtra,Nandurbar,Prakasha Kedareshwar Temple,21.5000,74.3200,"An ancient temple site on the banks of the Tapi river, often called the 'Dakshin Kashi'.",https://commons.wikimedia.org/wiki/Special:FilePath/Prakasha_Temple.jpg,N/A
Maharashtra,Nashik,Trimbakeshwar Shiva Temple,19.9324,73.5316,"An ancient Hindu temple in the town of Trimbak, housing one of the twelve Jyotirlingas.",https://commons.wikimedia.org/wiki/Special:FilePath/Trimbakeshwar_Temple.jpg,N/A
Maharashtra,Osmanabad,Naldurg Fort,17.8100,76.2900,"A historic fort featuring the unique 'Pani Mahal' (Water Palace) built over the Bori River.",https://commons.wikimedia.org/wiki/Special:FilePath/Naldurg_Fort.jpg,N/A
Maharashtra,Palghar,Vasai Fort,19.3305,72.8149,"Also known as Fort Bassein, a massive ruined Portuguese fort reclaimed by the Marathas in 1739.",https://commons.wikimedia.org/wiki/Special:FilePath/Vasai_Fort.jpg,N/A
Maharashtra,Parbhani,Nemgiri Jain Caves,19.2600,76.2200,"A group of 9th-century Jain cave temples featuring prominent rock-cut sculptures of Tirthankaras.",https://commons.wikimedia.org/wiki/Special:FilePath/Nemgiri_Caves.jpg,N/A
Maharashtra,Pune,Shaniwar Wada,18.5195,73.8553,"The historical 18th-century fortification and seat of the Peshwas of the Maratha Empire.",https://commons.wikimedia.org/wiki/Special:FilePath/Shaniwar_Wada.jpg,N/A
Maharashtra,Raigad,Raigad Fort,18.2346,73.4463,"The majestic hill fort that served as the capital of the Maratha Empire under Chhatrapati Shivaji Maharaj.",https://commons.wikimedia.org/wiki/Special:FilePath/Raigad_Fort.jpg,N/A
Maharashtra,Ratnagiri,Thibaw Palace,16.9800,73.2800,"A three-story brick palace built in 1910 by the British to house the exiled King of Burma.",https://commons.wikimedia.org/wiki/Special:FilePath/Thibaw_Palace.jpg,N/A
Maharashtra,Sangli,Sagareshwar Shiva Temple,17.1100,74.3800,"An ancient complex of multiple small Shiva temples located within a wildlife sanctuary.",https://commons.wikimedia.org/wiki/Special:FilePath/Sagareshwar_Temple.jpg,N/A
Maharashtra,Satara,Pratapgad Fort,17.9265,73.5855,"A large mountain fort historically significant for the 1659 Battle of Pratapgad.",https://commons.wikimedia.org/wiki/Special:FilePath/Pratapgad_Fort.jpg,N/A
Maharashtra,Sindhudurg,Sindhudurg Fort,16.0460,73.4560,"A massive 17th-century naval fort built on an islet in the Arabian Sea by Shivaji Maharaj.",https://commons.wikimedia.org/wiki/Special:FilePath/Sindhudurg_Fort.jpg,N/A
Maharashtra,Solapur,Bhuikot Fort,17.6700,75.9000,"A 14th-century land fort built by the Bahamani dynasty, featuring a distinct double defensive wall.",https://commons.wikimedia.org/wiki/Special:FilePath/Bhuikot_Fort_Solapur.jpg,N/A
Maharashtra,Thane,Kopineshwar Mandir,19.1940,72.9760,"One of the oldest temples in Thane, dedicated to Lord Shiva, originally built by the Shilahara dynasty.",https://commons.wikimedia.org/wiki/Special:FilePath/Kopineshwar_Mandir.jpg,N/A
Maharashtra,Wardha,Sevagram Ashram,20.7330,78.6500,"The historic ashram and residence of Mahatma Gandhi from 1936 until his death.",https://commons.wikimedia.org/wiki/Special:FilePath/Sevagram_Ashram.jpg,N/A
Maharashtra,Washim,Pohradevi Temple,20.1000,77.1400,"A significant pilgrimage center, particularly revered by the Banjara community.",https://commons.wikimedia.org/wiki/Special:FilePath/Pohradevi_Temple.jpg,N/A
Maharashtra,Yavatmal,Chintamani Kalamb,20.3900,78.3300,"An ancient underground temple dedicated to Lord Ganesha, unique for its stepwell architecture.",https://commons.wikimedia.org/wiki/Special:FilePath/Chintamani_Kalamb.jpg,N/A



Uttar Pradesh,Agra,Taj Mahal,27.1751,78.0421,"Iconic 17th-century white marble mausoleum built by Shah Jahan, a UNESCO World Heritage site.",https://commons.wikimedia.org/wiki/Special:FilePath/Taj_Mahal_(Edited).jpeg,https://sketchfab.com/3d-models/taj-mahal-india
Uttar Pradesh,Aligarh,Aligarh Fort,27.9150,78.0750,"Historic fort built by the Kol dynasty and later upgraded by French engineers in the 18th century.",https://commons.wikimedia.org/wiki/Special:FilePath/Aligarh_Fort.jpg,N/A
Uttar Pradesh,Ambedkar Nagar,Kichhauchha Sharif Dargah,26.4161,82.7844,"A highly revered 14th-century Sufi shrine dedicated to the saint Syed Makhdum Ashraf Jahangir Ashrafi, featuring stunning marble and glass architecture.",http://googleusercontent.com/image_collection/image_retrieval/11843837903987240018,N/A
Uttar Pradesh,Amethi,Ramnagar Fort (Amethi Fort),26.1600,81.8100,"A historic stone fort built by the Bandhalgoti Rajput rulers, showcasing the grand architectural legacy of the former Amethi estate.",http://googleusercontent.com/image_collection/image_retrieval/2048305592393415481,N/A
Uttar Pradesh,Amroha,Vasudev Temple,28.9000,78.4700,"Ancient temple with significant local religious heritage.",https://commons.wikimedia.org/wiki/Special:FilePath/Vasudev_Temple_Amroha.jpg,N/A

Uttar Pradesh,Ayodhya,Ram Janmabhoomi Complex,26.7970,82.1930,"Highly significant Hindu pilgrimage site and location of the grand Ram Mandir.",https://commons.wikimedia.org/wiki/Special:FilePath/Ram_Mandir_Ayodhya.jpg,N/A

Uttar Pradesh,Baghpat,Lakshagriha Barnava,29.0700,77.4300,"Believed to be the site of the ancient lac palace from the Mahabharata.",https://commons.wikimedia.org/wiki/Special:FilePath/Barnava_Baghpat.jpg,N/A
Uttar Pradesh,Bahraich,Dargah of Syed Salar Masood,27.5800,81.5900,"Revered 11th-century shrine of the Ghazi saint attracting widespread pilgrimage.",https://commons.wikimedia.org/wiki/Special:FilePath/Dargah_Bahraich.jpg,N/A
Uttar Pradesh,Ballia,Bhrigu Ashram,25.7500,84.1400,"Ancient ashram associated with the sage Bhrigu from Hindu mythology.",https://commons.wikimedia.org/wiki/Special:FilePath/Bhrigu_Ashram.jpg,N/A
Uttar Pradesh,Balrampur,Jetavana Monastery,27.5100,82.0500,"One of the most famous Buddhist monasteries in ancient India where Buddha gave many teachings.",https://commons.wikimedia.org/wiki/Special:FilePath/Jetavana_Sravasti.jpg,N/A
Uttar Pradesh,Banda,Kalinjar Fort,25.0130,80.4800,"An ancient, massive hill fortress noted for its strategic and military importance across dynasties.",https://commons.wikimedia.org/wiki/Special:FilePath/Kalinjar_Fort.jpg,N/A
Uttar Pradesh,Barabanki,Dewa Sharif,26.9600,81.1600,"Famous shrine of the Sufi saint Haji Waris Ali Shah, promoting communal harmony.",https://commons.wikimedia.org/wiki/Special:FilePath/Dewa_Sharif.jpg,N/A
Uttar Pradesh,Bareilly,Ahichchhatra Ruins,28.3600,79.2500,"Ancient capital of Northern Panchala dating back to the Mahabharata era.",https://commons.wikimedia.org/wiki/Special:FilePath/Ahichchhatra_Ruins.jpg,N/A
